Date,M4 Growth Rate,TA,CC,
1/31/2010,-6.36%,1.272931405,8.419404463,-15.63777479
2/28/2010,-6.60%,1.134090923,9.789251119,-19.72733738
3/31/2010,-7.42%,1.229908066,10.2991571,-23.62131018
4/30/2010,-5.84%,1.395353423,10.9928164,-26.14711174
5/31/2010,-6.30%,1.390254718,10.7410697,-30.5471244
6/30/2010,-7.43%,1.297344234,10.29970456,-31.88891816
7/31/2010,-5.06%,1.231885133,9.592571279,-32.13919057
8/31/2010,-4.24%,1.245459574,9.663991013,-33.17942538
9/30/2010,-3.70%,1.102302783,9.476300824,-35.26748452
10/31/2010,-1.26%,0.258024938,7.795644726,-36.5784277
11/30/2010,-0.68%,0.015718661,6.268788166,-35.2016935
12/31/2010,-0.65%,-0.001583363,5.289016742,-35.05002555
1/31/2011,-0.43%,0.109442043,3.955245186,-33.73595181
2/28/2011,0.24%,0.205033167,3.696700406,-33.73095884
3/31/2011,1.50%,0.157872863,3.528518394,-34.85954965
4/30/2011,2.43%,0.09664714,3.502545241,-34.96858104
5/31/2011,3.07%,0.094794525,3.529457563,-31.49225924
6/30/2011,3.48%,0.136342359,3.722758128,-29.35671585
7/31/2011,2.31%,0.153562838,3.870570988,-29.44081664
8/31/2011,1.33%,0.138709243,3.877278041,-30.58921641
9/30/2011,1.10%,0.084688581,4.201783762,-30.74298356
10/31/2011,0.11%,0.060397452,4.922039283,-30.00763693
11/30/2011,0.68%,0.064106177,5.73364959,-34.41248235
12/31/2011,0.83%,0.078168887,5.958511105,-28.98190976
1/31/2012,2.25%,0.082784751,6.260917752,-26.77610032
2/29/2012,2.60%,0.103894297,6.457843007,-25.6192661
3/31/2012,2.25%,0.12515868,7.30906458,-25.6172224
4/30/2012,1.43%,0.147709144,7.947348495,-26.37585959
5/31/2012,0.58%,0.176423138,8.447192016,-25.22653204
6/30/2012,2.30%,0.210630346,8.72819889,-26.18189636
7/31/2012,2.80%,0.230720078,8.976361576,-25.07054487
8/31/2012,3.43%,0.235200793,9.190788378,-25.02585152
9/30/2012,4.41%,0.241434319,9.187880467,-25.02232937
10/31/2012,4.44%,0.238648271,8.513420362,-23.10523226
11/30/2012,5.22%,0.218873871,8.686908742,-21.18963617
12/31/2012,6.85%,0.208404589,8.884666193,-20.25058505
1/31/2013,6.18%,0.192667754,9.273377345,-18.48627933
2/28/2013,5.39%,0.170568605,9.432750389,-18.48939653
3/31/2013,5.02%,0.116578642,9.440585681,-17.63805895
4/30/2013,5.20%,0.073320449,8.977095523,-17.64124235
5/31/2013,5.02%,0.039012391,8.557798566,-17.67046112
6/30/2013,4.26%,0.012030455,8.306442646,-17.67261482
7/31/2013,3.61%,-0.004210814,8.176761129,-17.69107676
8/31/2013,3.49%,-0.009208528,8.017672881,-16.94289672
9/30/2013,3.23%,-0.013928951,8.438248354,-14.53476294
10/31/2013,3.64%,-0.009955093,8.875420203,-14.4523014
11/30/2013,2.72%,0.011223699,8.888000405,-13.73669601
12/31/2013,1.94%,0.003392804,8.466711662,-15.30670522
1/31/2014,0.94%,0.01787075,8.45026004,-16.16455047
2/28/2014,2.16%,0.047375705,7.812232398,-13.87059038
3/31/2014,2.74%,0.098211634,7.230637358,-12.50395649
4/30/2014,1.72%,0.137889597,7.131348793,-13.29569469
5/31/2014,2.41%,0.174935755,7.371524387,-12.57811864
6/30/2014,2.36%,0.201191447,7.320224411,-12.51138232
7/31/2014,2.40%,0.237011374,7.4365542,-11.12697618
8/31/2014,2.34%,0.280213784,7.432078326,-10.42733136
9/30/2014,1.85%,0.310582712,7.096905931,-10.43778712
10/31/2014,1.66%,0.34469381,6.945234477,-10.46501135
11/30/2014,1.62%,0.364022911,6.250981815,-8.575175647
12/31/2014,2.12%,0.375938917,6.36215546,-7.406970197
1/31/2015,2.97%,0.370413139,6.167579131,-6.970155406
2/28/2015,2.86%,0.347293064,6.264036659,-7.558017817
3/31/2015,2.70%,0.324743197,7.428106735,-7.464860238
4/30/2015,3.00%,0.308543311,7.782159347,-4.932250484
5/31/2015,2.66%,0.287998321,7.672613541,-5.344508362
6/30/2015,2.75%,0.2651199,7.538245678,-4.489916377
7/31/2015,3.69%,0.242912179,7.374696301,-4.890986402
8/31/2015,4.13%,0.21670087,7.399493618,-4.503361693
9/30/2015,3.59%,0.201267266,7.00017201,-3.696257576
10/31/2015,3.20%,0.176102582,6.643345348,-3.064623463
11/30/2015,4.30%,0.151532597,7.26118273,-3.477355099
12/31/2015,3.74%,0.126529318,7.836568083,-2.841205758
1/31/2016,4.04%,0.108857067,8.266726555,-3.303349592
2/29/2016,4.18%,0.087535248,8.381342096,-2.614517199
3/31/2016,4.53%,0.06851363,7.385782658,-2.370226502
4/30/2016,4.88%,0.049388715,7.070045561,-2.397627794
5/31/2016,5.07%,0.03633602,6.945540307,-3.071688331
6/30/2016,5.73%,0.029175676,6.783213135,-2.194130278
7/31/2016,4.75%,0.021113518,6.611810947,-2.089988268
8/31/2016,4.79%,0.015235874,6.799944,-1.804268513
9/30/2016,5.30%,0.010885461,7.212711768,-1.586214918
10/31/2016,5.66%,0.005754642,7.526231093,-1.709002709
11/30/2016,5.17%,-0.000481615,7.140076621,-1.921090803
12/31/2016,5.12%,-0.002366794,6.659057802,-1.759177483
1/31/2017,4.85%,-0.003833409,6.290782461,-1.079594443
2/28/2017,4.17%,-0.002358052,5.943661783,-1.176821854
3/31/2017,3.96%,-0.000895354,6.061026127,-1.378825584
4/30/2017,4.43%,0.001069282,6.22916523,-1.493512122
5/31/2017,4.45%,-0.001547193,6.333699688,-0.892665495
6/30/2017,3.82%,-0.002190337,6.686474039,-1.061595672
7/31/2017,4.11%,-0.003549887,6.855289101,-0.815379536
8/31/2017,4.20%,-0.003943384,6.493412707,-0.901463501
9/30/2017,4.88%,-0.004054864,6.24174689,-1.099896862
10/31/2017,5.07%,-0.007940728,6.064394949,-0.84236148
11/30/2017,4.96%,-0.007043885,6.097601481,-0.546663415
12/31/2017,4.95%,-0.005842051,5.958186595,-0.519441513
1/31/2018,4.97%,-0.007811135,6.155759284,-0.499787461
2/28/2018,4.99%,-0.006113905,5.88880356,-0.372836228
3/31/2018,5.10%,-0.003849369,6.280441897,-0.254522988
4/30/2018,4.56%,-0.002231707,6.564567289,-0.24850999
5/31/2018,4.56%,-0.000920587,6.696476045,-0.280618992
6/30/2018,4.79%,-3.79E-05,6.703503341,-0.182453787
7/31/2018,4.80%,-0.000677371,6.757995999,-0.260024187
8/31/2018,4.52%,-0.000848395,6.893724042,-0.405176421
9/30/2018,4.04%,-0.001521208,7.348767216,-0.263221036
10/31/2018,3.89%,0.000665067,7.280980979,-0.133134846
11/30/2018,3.54%,-0.000985952,6.959222723,-0.131927828
12/31/2018,4.12%,-0.003032881,7.015667906,-0.087970518
1/31/2019,4.28%,-0.003795478,7.095796747,-0.072211146
2/28/2019,4.49%,-0.00969109,7.418711834,-0.056354242
3/31/2019,4.47%,-0.015192114,6.935868382,0.006857353
4/30/2019,4.55%,-0.021216751,6.526797328,0.000151903
5/31/2019,4.65%,-0.028009927,6.634675207,0.051604926
6/30/2019,4.79%,-0.034169904,6.819787492,0.004514261
7/31/2019,4.95%,-0.040607153,6.813308652,0.055669035
8/31/2019,5.37%,-0.0503992,6.792346611,0.040663781
9/30/2019,5.82%,-0.057100486,6.793374053,0.091552564
10/31/2019,6.49%,-0.066036229,6.749823979,0.035108019
11/30/2019,7.22%,-0.073608879,6.875795867,0.043580072
12/31/2019,6.72%,-0.081623414,6.378617109,0.013209468
